layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.language_model.layers.9.mlp.gate_proj,mlp_up,9,0.21951219512195122,2560,10240,26214400,2.0857009887695312,0.408203125,0.0203704833984375,20.038951310861425,2390.832763671875,3.8897362123730495
model.language_model.layers.9.mlp.up_proj,mlp_up,9,0.21951219512195122,2560,10240,26214400,1.4447212219238281,0.37109375,0.02081298828125,17.82991202346041,2423.016357421875,2.5044336374187113
model.language_model.layers.9.mlp.down_proj,mlp_down,9,0.21951219512195122,10240,2560,26214400,3.4592037200927734,0.466796875,0.015838623046875,29.472061657032754,2360.890625,4.059621453106148
model.language_model.layers.9.per_layer_input_gate,other,9,0.21951219512195122,2560,256,655360,1.9090161323547363,0.10498046875,0.00812530517578125,12.92018779342723,242.75379943847656,2.340506843957327
model.language_model.layers.9.per_layer_projection,other,9,0.21951219512195122,256,2560,655360,29.612934112548828,0.75390625,0.0271759033203125,27.74171813587872,206.39356994628906,1.3833873255970301
model.language_model.layers.10.self_attn.q_proj,attn_qkv,10,0.24390243902439024,2560,2048,5242880,0.7799029350280762,0.310546875,0.0208892822265625,14.866325785244705,1570.0501708984375,3.2202229924108576
model.language_model.layers.10.self_attn.k_proj,attn_qkv,10,0.24390243902439024,2560,512,1310720,0.9556431770324707,0.296875,0.0211029052734375,14.067968185104844,464.455078125,2.6777917298359535
model.language_model.layers.10.self_attn.v_proj,attn_qkv,10,0.24390243902439024,2560,512,1310720,2.571949005126953,0.3203125,0.0207061767578125,15.469417833456154,496.807373046875,1.3074140663335023
model.language_model.layers.10.self_attn.o_proj,attn_out,10,0.24390243902439024,2048,2560,5242880,3.129520893096924,0.52734375,0.0220184326171875,23.95010395010395,1656.7591552734375,3.3785637339782433
model.language_model.layers.10.mlp.gate_proj,mlp_up,10,0.24390243902439024,2560,10240,26214400,2.0614724159240723,0.4453125,0.0205535888671875,21.665924276169264,2389.140380859375,3.6386188042853456
model.language_model.layers.10.mlp.up_proj,mlp_up,10,0.24390243902439024,2560,10240,26214400,1.9291768074035645,0.349609375,0.0207366943359375,16.859455481972038,2427.31591796875,1.8613475344365402
model.language_model.layers.10.mlp.down_proj,mlp_down,10,0.24390243902439024,10240,2560,26214400,4.12256383895874,0.4609375,0.01467132568359375,31.41757670306812,2378.7197265625,4.1883746755655435
model.language_model.layers.10.per_layer_input_gate,other,10,0.24390243902439024,2560,256,655360,2.770216464996338,0.177734375,0.01263427734375,14.067632850241546,238.9142608642578,2.3527027397257974
model.language_model.layers.10.per_layer_projection,other,10,0.24390243902439024,256,2560,655360,23.42471694946289,0.72265625,0.0335693359375,21.527272727272727,187.6451873779297,3.2303955889891838
model.language_model.layers.11.self_attn.q_proj,attn_qkv,11,0.2682926829268293,2560,4096,10485760,1.3428268432617188,0.302734375,0.0194091796875,15.59748427672956,2056.5146484375,3.5370298446091324
model.language_model.layers.11.self_attn.k_proj,attn_qkv,11,0.2682926829268293,2560,1024,2621440,3.78397798538208,0.27734375,0.0183563232421875,15.10889443059019,878.8532104492188,2.206873462927704
model.language_model.layers.11.self_attn.v_proj,attn_qkv,11,0.2682926829268293,2560,1024,2621440,1.4037117958068848,0.234375,0.019073486328125,12.288,975.1192626953125,1.8116533720241519
model.language_model.layers.11.self_attn.o_proj,attn_out,11,0.2682926829268293,4096,2560,10485760,3.044295310974121,0.5625,0.01690673828125,33.27075812274368,2138.836669921875,3.5921786239994593
model.language_model.layers.11.mlp.gate_proj,mlp_up,11,0.2682926829268293,2560,10240,26214400,1.4546504020690918,0.384765625,0.019927978515625,19.30781010719755,2355.659423828125,4.676863745348827
model.language_model.layers.11.mlp.up_proj,mlp_up,11,0.2682926829268293,2560,10240,26214400,1.1056199073791504,0.388671875,0.02008056640625,19.35562310030395,2420.26123046875,2.2283585197615605
model.language_model.layers.11.mlp.down_proj,mlp_down,11,0.2682926829268293,10240,2560,26214400,1.9583005905151367,0.49609375,0.01517486572265625,32.69180492709904,2430.723388671875,4.0005233873169725
model.language_model.layers.11.per_layer_input_gate,other,11,0.2682926829268293,2560,256,655360,2.76878023147583,0.19140625,0.01317596435546875,14.526925303995368,242.6097412109375,2.3944388335374196
model.language_model.layers.11.per_layer_projection,other,11,0.2682926829268293,256,2560,655360,11.59721851348877,0.92578125,0.038604736328125,23.98102766798419,202.7074432373047,2.5970826413775505
model.language_model.layers.12.self_attn.q_proj,attn_qkv,12,0.2926829268292683,2560,2048,5242880,0.6145048141479492,0.255859375,0.0203094482421875,12.598046581517655,1552.060546875,3.1805195840050158
model.language_model.layers.12.self_attn.k_proj,attn_qkv,12,0.2926829268292683,2560,512,1310720,1.3565082550048828,0.265625,0.01995849609375,13.308868501529052,452.6153564453125,2.63525408360334
model.language_model.layers.12.self_attn.v_proj,attn_qkv,12,0.2926829268292683,2560,512,1310720,0.8789255619049072,0.1865234375,0.0200653076171875,9.295817490494297,495.7027587890625,1.8168339918877192
model.language_model.layers.12.self_attn.o_proj,attn_out,12,0.2926829268292683,2048,2560,5242880,3.1028380393981934,0.62890625,0.0206451416015625,30.462675535846266,1644.9293212890625,2.9785786628942854
model.language_model.layers.12.mlp.gate_proj,mlp_up,12,0.2926829268292683,2560,10240,26214400,1.003300666809082,0.443359375,0.021270751953125,20.84361549497848,2365.111572265625,5.708939865987076
