layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
12,model.language_model.layers.12.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.002671385183930397,0.010362694039940834,193,0.1642298698425293
12,model.language_model.layers.12.self_attn.k_proj,attn_qkv,512,2560,1310720,0.0023000214714556932,0.005181347019970417,193,0.15956759452819824
12,model.language_model.layers.12.self_attn.v_proj,attn_qkv,512,2560,1310720,0.012309485115110874,0.031088082119822502,193,0.15821576118469238
12,model.language_model.layers.12.self_attn.o_proj,attn_out,2560,2048,5242880,0.011334754526615143,0.031088082119822502,193,0.16045331954956055
12,model.language_model.layers.12.mlp.gate_proj,mlp_up,10240,2560,26214400,0.008427408523857594,0.010362694039940834,193,0.15664172172546387
12,model.language_model.layers.12.mlp.up_proj,mlp_up,10240,2560,26214400,0.01811104267835617,0.02590673416852951,193,0.16569256782531738
12,model.language_model.layers.12.mlp.down_proj,mlp_down,2560,10240,26214400,0.04006410017609596,0.05181346833705902,193,0.16794896125793457
12,model.language_model.layers.12.per_layer_input_gate,other,256,2560,655360,0.060499511659145355,0.04663212224841118,193,0.1567060947418213
12,model.language_model.layers.12.per_layer_projection,other,2560,256,655360,0.06841187179088593,0.06735751032829285,193,0.15809154510498047
13,model.language_model.layers.13.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.01883615180850029,0.020725388079881668,193,0.16252660751342773
13,model.language_model.layers.13.self_attn.k_proj,attn_qkv,512,2560,1310720,0.0430649034678936,0.041450776159763336,193,0.15221643447875977
13,model.language_model.layers.13.self_attn.v_proj,attn_qkv,512,2560,1310720,0.006821257062256336,0.02590673416852951,193,0.19124078750610352
13,model.language_model.layers.13.self_attn.o_proj,attn_out,2560,2048,5242880,0.013403053395450115,0.05181346833705902,193,0.164015531539917
13,model.language_model.layers.13.mlp.gate_proj,mlp_up,10240,2560,26214400,0.038839567452669144,0.041450776159763336,193,0.16671156883239746
13,model.language_model.layers.13.mlp.up_proj,mlp_up,10240,2560,26214400,0.008800865150988102,0.02590673416852951,193,0.16689252853393555
13,model.language_model.layers.13.mlp.down_proj,mlp_down,2560,10240,26214400,0.020508013665676117,0.031088082119822502,193,0.1701657772064209
13,model.language_model.layers.13.per_layer_input_gate,other,256,2560,655360,0.013847260735929012,0.036269430071115494,193,0.15154814720153809
13,model.language_model.layers.13.per_layer_projection,other,2560,256,655360,0.17387235164642334,0.09326424449682236,193,0.1617271900177002
14,model.language_model.layers.14.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0035553602501749992,0.015544041059911251,193,0.1587836742401123
14,model.language_model.layers.14.self_attn.k_proj,attn_qkv,512,2560,1310720,0.001972064608708024,0.015544041059911251,193,0.16046428680419922
14,model.language_model.layers.14.self_attn.v_proj,attn_qkv,512,2560,1310720,0.03241543471813202,0.041450776159763336,193,0.1646113395690918
14,model.language_model.layers.14.self_attn.o_proj,attn_out,2560,2048,5242880,0.02114153653383255,0.031088082119822502,193,0.16123366355895996
14,model.language_model.layers.14.mlp.gate_proj,mlp_up,10240,2560,26214400,0.007789351046085358,0.020725388079881668,193,0.16212725639343262
14,model.language_model.layers.14.mlp.up_proj,mlp_up,10240,2560,26214400,0.015969641506671906,0.020725388079881668,193,0.1643667221069336
14,model.language_model.layers.14.mlp.down_proj,mlp_down,2560,10240,26214400,0.013068483211100101,0.031088082119822502,193,0.16855263710021973
14,model.language_model.layers.14.per_layer_input_gate,other,256,2560,655360,0.003684724448248744,0.010362694039940834,193,0.16265130043029785
14,model.language_model.layers.14.per_layer_projection,other,2560,256,655360,0.0012237916234880686,0.010362694039940834,193,0.16188502311706543
15,model.language_model.layers.15.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.005121947266161442,0.020725388079881668,193,0.15959954261779785
15,model.language_model.layers.15.self_attn.k_proj,attn_qkv,512,2560,1310720,0.035078082233667374,0.036269430071115494,193,0.154388427734375
15,model.language_model.layers.15.self_attn.v_proj,attn_qkv,512,2560,1310720,0.007346794940531254,0.020725388079881668,193,0.15354561805725098
15,model.language_model.layers.15.self_attn.o_proj,attn_out,2560,2048,5242880,0.021534958854317665,0.02590673416852951,193,0.1614396572113037
15,model.language_model.layers.15.mlp.gate_proj,mlp_up,10240,2560,26214400,0.04634802043437958,0.05181346833705902,193,0.1717824935913086
15,model.language_model.layers.15.mlp.up_proj,mlp_up,10240,2560,26214400,0.025497421622276306,0.04663212224841118,193,0.16951298713684082
15,model.language_model.layers.15.mlp.down_proj,mlp_down,2560,10240,26214400,0.07560282945632935,0.062176164239645004,193,0.17148900032043457
15,model.language_model.layers.15.per_layer_input_gate,other,256,2560,655360,0.010829661041498184,0.02590673416852951,193,0.15317797660827637
15,model.language_model.layers.15.per_layer_projection,other,2560,256,655360,0.2151523381471634,0.13989636301994324,193,0.1556389331817627
16,model.language_model.layers.16.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.008540158160030842,0.015544041059911251,193,0.16428899765014648
16,model.language_model.layers.16.self_attn.k_proj,attn_qkv,512,2560,1310720,0.007240316364914179,0.031088082119822502,193,0.15642571449279785
16,model.language_model.layers.16.self_attn.v_proj,attn_qkv,512,2560,1310720,0.05404204502701759,0.05181346833705902,193,0.15945696830749512
16,model.language_model.layers.16.self_attn.o_proj,attn_out,2560,2048,5242880,0.03786133974790573,0.036269430071115494,193,0.16626620292663574
16,model.language_model.layers.16.mlp.gate_proj,mlp_up,10240,2560,26214400,0.027792703360319138,0.05699481815099716,193,0.16695737838745117
16,model.language_model.layers.16.mlp.up_proj,mlp_up,10240,2560,26214400,0.04844307526946068,0.05699481815099716,193,0.16069245338439941
16,model.language_model.layers.16.mlp.down_proj,mlp_down,2560,10240,26214400,0.021154869347810745,0.041450776159763336,193,0.17292571067810059
16,model.language_model.layers.16.per_layer_input_gate,other,256,2560,655360,0.007242177147418261,0.020725388079881668,193,0.15959477424621582
16,model.language_model.layers.16.per_layer_projection,other,2560,256,655360,0.0011885501444339752,0.010362694039940834,193,0.15942597389221191
17,model.language_model.layers.17.self_attn.q_proj,attn_qkv,4096,2560,10485760,0.005126456264406443,0.005181347019970417,193,0.17011380195617676
17,model.language_model.layers.17.self_attn.k_proj,attn_qkv,1024,2560,2621440,0.006053586024791002,0.02590673416852951,193,0.15805363655090332
17,model.language_model.layers.17.self_attn.v_proj,attn_qkv,1024,2560,2621440,0.055024754256010056,0.07253886014223099,193,0.1499927043914795
17,model.language_model.layers.17.self_attn.o_proj,attn_out,2560,4096,10485760,0.15762639045715332,0.12953367829322815,193,0.16310548782348633
17,model.language_model.layers.17.mlp.gate_proj,mlp_up,10240,2560,26214400,0.035517700016498566,0.04663212224841118,193,0.17084884643554688
17,model.language_model.layers.17.mlp.up_proj,mlp_up,10240,2560,26214400,0.048072319477796555,0.07772020250558853,193,0.1724381446838379
17,model.language_model.layers.17.mlp.down_proj,mlp_down,2560,10240,26214400,0.03285093232989311,0.04663212224841118,193,0.17095446586608887
17,model.language_model.layers.17.per_layer_input_gate,other,256,2560,655360,0.0031983430963009596,0.005181347019970417,193,0.1563858985900879
17,model.language_model.layers.17.per_layer_projection,other,2560,256,655360,0.0723223015666008,0.062176164239645004,193,0.1512131690979004
18,model.language_model.layers.18.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.005615857429802418,0.015544041059911251,193,0.16194510459899902
18,model.language_model.layers.18.self_attn.k_proj,attn_qkv,512,2560,1310720,0.012722069397568703,0.02590673416852951,193,0.1622915267944336
18,model.language_model.layers.18.self_attn.v_proj,attn_qkv,512,2560,1310720,0.015086817555129528,0.02590673416852951,193,0.16230440139770508
18,model.language_model.layers.18.self_attn.o_proj,attn_out,2560,2048,5242880,0.013449915684759617,0.031088082119822502,193,0.16626358032226562
18,model.language_model.layers.18.mlp.gate_proj,mlp_up,10240,2560,26214400,0.0065710945054888725,0.015544041059911251,193,0.17080998420715332
18,model.language_model.layers.18.mlp.up_proj,mlp_up,10240,2560,26214400,0.01882888935506344,0.02590673416852951,193,0.16351604461669922
18,model.language_model.layers.18.mlp.down_proj,mlp_down,2560,10240,26214400,0.01131461188197136,0.020725388079881668,193,0.16955924034118652
18,model.language_model.layers.18.per_layer_input_gate,other,256,2560,655360,0.0137694226577878,0.05181346833705902,193,0.16261601448059082
