layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.layers.6.mlp.gate_proj,mlp_up,6,0.2222222222222222,3072,8192,25165824,0.5562155246734619,0.52734375,0.01593017578125,33.10344827586207,2785.758056640625,4.788946933115477
model.layers.6.mlp.up_proj,mlp_up,6,0.2222222222222222,3072,8192,25165824,0.20635128021240234,0.314453125,0.0135955810546875,23.129068462401797,2877.7900390625,1.6817932190149005
model.layers.6.mlp.down_proj,mlp_down,6,0.2222222222222222,8192,3072,25165824,0.6839709281921387,0.65625,0.0134429931640625,48.81725312145289,2830.60302734375,2.332244726560026
model.layers.7.self_attn.q_proj,attn_qkv,7,0.25925925925925924,3072,3072,9437184,1.1442561149597168,0.2431640625,0.0185699462890625,13.094494658997535,2042.7557373046875,4.628711875567474
model.layers.7.self_attn.k_proj,attn_qkv,7,0.25925925925925924,3072,1024,3145728,0.8366553783416748,0.26953125,0.0250091552734375,10.777303233679072,838.2613525390625,2.8130065733607483
model.layers.7.self_attn.v_proj,attn_qkv,7,0.25925925925925924,3072,1024,3145728,0.4097025394439697,0.1123046875,0.0096435546875,11.645569620253164,921.1132202148438,1.3411143880137695
model.layers.7.self_attn.o_proj,attn_out,7,0.25925925925925924,3072,3072,9437184,1.0712666511535645,0.328125,0.01117706298828125,29.356996587030718,2204.29296875,2.099152859150507
model.layers.7.mlp.gate_proj,mlp_up,7,0.25925925925925924,3072,8192,25165824,0.5619301795959473,0.40234375,0.01543426513671875,26.06821552150272,2779.507080078125,4.6481807288813535
model.layers.7.mlp.up_proj,mlp_up,7,0.25925925925925924,3072,8192,25165824,0.31975674629211426,0.439453125,0.0136871337890625,32.10702341137124,2875.702392578125,1.732447285296296
model.layers.7.mlp.down_proj,mlp_down,7,0.25925925925925924,8192,3072,25165824,1.1286077499389648,0.66015625,0.01355743408203125,48.69330332020259,2803.2353515625,2.6730244123780618
model.layers.8.self_attn.q_proj,attn_qkv,8,0.2962962962962963,3072,3072,9437184,2.0832386016845703,0.396484375,0.018341064453125,21.617304492512478,2000.5333251953125,3.77342446765014
model.layers.8.self_attn.k_proj,attn_qkv,8,0.2962962962962963,3072,1024,3145728,1.9338645935058594,0.408203125,0.02386474609375,17.104859335038363,822.0514526367188,2.5039220149883863
